id,max_confidence_slope,mean_confidence,confidence_acceleration,final_confidence,tail_confidence_mean,tokens_to_high_conf,max_entropy_jump,entropy_variance,entropy_recovery_detected,token_jaccard,perturbation_sensitivity,early_phase_entropy,middle_phase_entropy,late_phase_entropy,answer_surfaced_early,confidence_second_derivative,logprob_variance,entropy_trajectory_slope,confidence_monotonicity,early_phase_confidence,middle_phase_confidence,late_phase_confidence,mean_logprob,unique_token_ratio,temporal_debt
cal-001,0.1999990413613867,0.7298218275485215,0.29700962200324443,0.6124401913875598,0.77866324323047,0.0,4.013671875,0.9165348869996324,0.0,0.19047619047619047,0.6862244897959183,1.2747961135688597,0.5692843295862181,0.22225116551042032,1.0,1.0300062897414983,3.353176460692194,-0.015290187774910138,0.4810126582278481,0.5877091772313217,0.7270101073286349,0.864394457332959,-0.7608810424804687,0.725,0.7483000234682118
cal-002,0.19435082393520953,0.8441567758365078,0.2705619589375454,0.997230591314404,0.8302029905837524,0.0,3.6060791015625,0.3447978751651783,0.0,0.21978021978021978,0.7129411764705882,0.31678987356225174,0.3686123404992171,0.2794820290466435,1.0,1.3366181621492164,0.869626110745012,-0.0004619486749558882,0.4936708860759494,0.8660554540418784,0.8208189042196179,0.8454931697186331,-0.3450325012207031,0.6875,0.6894856617787075
cal-003,0.19194295913799186,0.7744297095719038,0.30687052835717754,0.9330296127562643,0.8396276920759552,0.0,1.35540771484375,0.21181817557118823,0.0,0.29545454545454547,0.6598639455782312,0.37457077907255065,0.4714208749624399,0.3989114250455584,1.0,1.0049162578213047,0.296128092216677,0.0012114912912902763,0.4810126582278481,0.8154611531950552,0.7316258523826197,0.776075522169027,-0.33246688842773436,0.7125,0.6721116000855982
cal-004,0.21162081958372736,0.823808449798268,0.4175839177006997,0.9994090713269971,0.9152084857157663,1.0,1.74102783203125,0.19104326031787847,0.0,0.19047619047619047,0.7093333333333334,0.516868916232712,0.28455608094540924,0.16194427604542788,1.0,1.1871408349182822,0.40908647367672535,-0.006031426850192938,0.569620253164557,0.7409710919736383,0.8253735225157046,0.8992755716835185,-0.29302444458007815,0.525,0.6979740221137127
cal-005,0.27306415657711275,0.5954541949160179,0.29566468471637003,0.3710144927536232,0.6114253654741691,0.0,3.791717529296875,1.0253167487307244,0.0,0.1839080459770115,0.7168674698795181,0.7590082972489584,1.3557621515714204,1.071969181831394,1.0,1.3929369526217632,1.55044077652914,0.006542667669473996,0.5063291139240507,0.6668830965187017,0.5190278766242538,0.6000946532701638,-1.0826210021972655,0.6625,0.7869573527653839
cal-006,0.24098120062393424,0.8266041924895259,0.4095530794256823,0.99999987892808,0.7685522162607066,0.0,2.603607177734375,0.29134462697910857,0.0,0.4266666666666667,0.5555555555555556,0.08493017050194045,0.42682307616545995,0.519054249409237,1.0,1.4374591696529124,0.9781983121758093,0.007621635764741692,0.46835443037974683,0.9397398881894515,0.7777095897534446,0.766951749023099,-0.4218147277832031,0.6625,0.6944505498813387
cal-007,0.21308434333723503,0.7771241747108435,0.2955987780501861,0.9999996554107662,0.9950701139104826,3.0,2.2649192810058594,0.4252888642747948,0.0,0.2125,0.7242206235011991,0.5806948651488011,0.382429661659094,0.47056622144633103,1.0,1.2586521613010029,1.5107411014754324,-0.005093945842913051,0.5443037974683544,0.7352023394826619,0.8090871199884435,0.7863717153792409,-0.4837677001953125,0.55,0.680418069738927
cal-008,0.20428040466094743,0.827083929091763,0.2661403159208815,0.9287981859410431,0.7730823210510588,0.0,1.3828125,0.17602571309884432,0.0,0.5285714285714286,0.5212121212121212,0.07077225585657324,0.438762090777835,0.404770648639117,1.0,0.9921441577916683,0.3224802434421144,0.006407580691894604,0.5189873417721519,0.9499775246630878,0.7534338426018323,0.7813578135161828,-0.24466094970703126,0.6875,0.6363571801347692
cal-009,0.2028516971990143,0.8085666286541795,0.2832483238719248,0.735632183908046,0.6138319809896571,1.0,1.45941162109375,0.27084616569454,0.0,0.3582089552238806,0.5558194774346793,0.2031203256203578,0.5438266837826142,0.3802784445537587,1.0,0.8172716083051401,0.7236510751297465,0.004662566291555782,0.5063291139240507,0.8627751649748092,0.7290922742002084,0.832027745492282,-0.42299728393554686,0.5625,0.6457536859904791
cal-010,0.20610270501632033,0.8103208228830082,0.24409816023601982,0.4037854889589905,0.7045524651816824,0.0,1.453125,0.29214363376186614,0.0,0.5076923076923077,0.6935483870967742,0.5073894796391519,0.32285385406934297,0.3041345949129988,1.0,0.9809621490543848,0.3999919038213557,-0.0005537724164055251,0.4936708860759494,0.7706228981700255,0.8170737538672832,0.8409126027739516,-0.2948326110839844,0.575,0.6785744843476416
cal-011,0.2124785128171348,0.8548155976996853,0.3271307395965327,0.9394495412844037,0.8695370917728173,1.0,1.37109375,0.17927973818825535,0.0,0.21794871794871795,0.6476683937823834,0.3454123543073925,0.267600593300393,0.166497372473324,1.0,0.91362218817942,0.38261101840471384,-0.00265199381843811,0.46835443037974683,0.8037919331797253,0.855653680282201,0.9014164952130264,-0.2674903869628906,0.6125,0.6666313543397492
cal-012,0.17960072621161305,0.8812781069421105,0.2841018156271503,0.9999632848868674,0.9157382180020965,0.0,1.0703041553497314,0.087529635818478,0.0,0.3924050632911392,0.5280612244897959,0.12326141060867275,0.28768848149383514,0.15412337058400485,1.0,1.0393525026156925,0.35691766477189957,0.0007802958339414265,0.5063291139240507,0.9123218146963965,0.8341763368947631,0.8961891647856673,-0.1645782470703125,0.675,0.6250657894687209
